subject,sample_idx,true_label,predicted_label,correct,decision_score
hilmi,39,truth,truth,True,-0.42977396319179484
hilmi,40,truth,truth,True,-0.7418990315874395
hilmi,41,truth,truth,True,-0.9253006809997039
hilmi,42,truth,truth,True,-1.90047780796209
hilmi,43,truth,truth,True,-1.9770653445196849
hilmi,44,lie,truth,False,-0.09540673320274848
hilmi,45,lie,lie,True,0.0700521252909855
hilmi,46,lie,lie,True,0.1326510765187038
hilmi,47,lie,lie,True,0.9947138571790336
hilmi,48,lie,lie,True,0.2168585626860761
hilmi,49,lie,lie,True,0.38533707018080643
hilmi,50,lie,lie,True,0.6264863101606227
hilmi,51,lie,lie,True,1.9207628572356388
hilmi,52,lie,lie,True,0.6218855175829213
hilmi,53,lie,truth,False,-0.5791725942405156
hilmi,54,lie,truth,False,-0.7611958464929324
hilmi,55,truth,lie,False,1.4054111542299514
hilmi,56,truth,lie,False,1.5501812067519773
hilmi,57,truth,lie,False,1.9094821801180515
hilmi,58,truth,lie,False,1.7534055891908942
hilmi,59,truth,lie,False,2.3568728236839425
hilmi,60,truth,lie,False,1.3777160435591016
hilmi,61,truth,lie,False,0.4372124701514938
hilmi,62,truth,lie,False,0.32594185523739794
hilmi,63,truth,lie,False,0.2791750948063859
hilmi,64,truth,lie,False,2.0516674343608825
hilmi,65,truth,lie,False,1.5757022360082646
hilmi,66,lie,lie,True,0.7408311302792335
hilmi,67,lie,lie,True,0.5709176052801602
hilmi,68,lie,lie,True,0.7278908430875298
hilmi,69,lie,lie,True,0.7724754537130688
hilmi,70,lie,lie,True,1.288123024078133
hilmi,71,lie,lie,True,1.5769183320664413
hilmi,72,lie,lie,True,1.955484373774885
hilmi,73,lie,lie,True,1.282199181764201
hilmi,74,lie,lie,True,0.32015549442099134
hilmi,75,lie,lie,True,0.4804086532654427
hilmi,76,lie,lie,True,1.4920373322795286
hilmi,77,truth,lie,False,0.7825836401872898
hilmi,78,truth,lie,False,1.3238306405031972
hilmi,79,truth,lie,False,1.22660209363631
hilmi,80,truth,lie,False,0.5875331048594904
hilmi,81,truth,lie,False,0.4104995462743274
hilmi,82,truth,lie,False,0.12182329527137661
hilmi,83,truth,truth,True,-0.17836886992810305
hilmi,84,truth,truth,True,-0.34733788922916153
hilmi,85,truth,lie,False,0.7256260429275544
hilmi,86,truth,truth,True,-0.06138787565399592
hilmi,87,truth,truth,True,-0.7296297313548913
irsyad,0,lie,truth,False,-0.5116020929343386
irsyad,1,lie,truth,False,-0.14974661953541507
irsyad,2,lie,lie,True,0.07250059366621657
irsyad,3,lie,lie,True,0.5773141985601442
irsyad,4,lie,lie,True,1.022376225022239
irsyad,5,lie,lie,True,1.6679006630372923
irsyad,6,lie,lie,True,1.1396738851900972
irsyad,7,lie,lie,True,0.7082804238876728
irsyad,8,lie,lie,True,1.0014002730359493
irsyad,9,lie,lie,True,1.2856266693928573
irsyad,10,lie,lie,True,1.9431254890345855
irsyad,11,truth,truth,True,-0.9181913856622272
irsyad,12,truth,truth,True,-0.18379053506866755
irsyad,13,truth,truth,True,-0.9015430650040435
irsyad,14,truth,truth,True,-1.2276185287585426
irsyad,15,truth,truth,True,-1.066253326610802
irsyad,16,truth,truth,True,-0.5677582409059667
irsyad,17,truth,truth,True,-1.6938389479093
irsyad,18,truth,truth,True,-1.1886283155032555
irsyad,19,truth,truth,True,-1.3360469088042264
irsyad,20,truth,truth,True,-1.615882837693232
irsyad,21,truth,truth,True,-1.7033873156434987
irsyad,22,lie,truth,False,-0.1655155118756529
irsyad,23,lie,lie,True,1.4310065855577359
irsyad,24,lie,lie,True,0.7665938913075426
irsyad,25,lie,lie,True,0.865026059136305
irsyad,26,lie,truth,False,-0.49258974582313664
irsyad,27,lie,lie,True,2.052891426900816
irsyad,28,lie,lie,True,1.5121129997132112
irsyad,29,lie,lie,True,0.09874439986529455
irsyad,30,lie,truth,False,-0.2629916506960217
irsyad,31,lie,lie,True,0.10144789347450653
irsyad,32,lie,lie,True,0.007458585503087187
irsyad,33,truth,truth,True,-2.5956173510531357
irsyad,34,truth,truth,True,-3.199966263168995
irsyad,35,truth,truth,True,-2.856981046894691
irsyad,36,truth,truth,True,-0.5585166875760156
irsyad,37,truth,truth,True,-3.1615560548330293
irsyad,38,truth,truth,True,-3.638905468477293
irsyad,39,truth,truth,True,-1.289151752623252
irsyad,40,truth,truth,True,-0.25807936759808536
irsyad,41,truth,truth,True,-1.0130445871673988
irsyad,42,truth,truth,True,-0.8222314479725562
irsyad,43,truth,truth,True,-0.22641417813911996
irsyad,44,lie,lie,True,2.232438329614465
irsyad,45,lie,lie,True,3.0296423611612973
irsyad,46,lie,lie,True,5.698008602748165
irsyad,47,lie,lie,True,6.8948362164216235
irsyad,48,lie,lie,True,8.053587521353709
irsyad,49,lie,lie,True,7.925961529454526
irsyad,50,lie,lie,True,14.460834019883361
irsyad,51,lie,lie,True,14.443880002720311
irsyad,52,lie,lie,True,11.880980627717456
irsyad,53,lie,lie,True,9.220970296184264
irsyad,54,lie,lie,True,10.683823199694407
irsyad,55,truth,truth,True,-2.0550704815219007
irsyad,56,truth,truth,True,-1.9745369372058261
irsyad,57,truth,truth,True,-1.272326624187545
irsyad,58,truth,truth,True,-1.2308808342184179
irsyad,59,truth,truth,True,-0.9793432358086396
irsyad,60,truth,truth,True,-0.8099425397137765
irsyad,61,truth,truth,True,-1.2820022976744039
irsyad,62,truth,lie,False,2.1583987509782396
irsyad,63,truth,truth,True,-0.0932862613262768
irsyad,64,truth,lie,False,0.18296914555500554
irsyad,65,truth,truth,True,-0.16164873105792665
irsyad,66,lie,truth,False,-0.849261097642676
irsyad,67,lie,truth,False,-0.3713227718323162
irsyad,68,lie,truth,False,-0.27196658592304157
irsyad,69,lie,truth,False,-0.37539297824096196
irsyad,70,lie,truth,False,-0.6698409727004471
irsyad,71,lie,truth,False,-0.7448513305239336
irsyad,72,lie,truth,False,-1.313393235294117
irsyad,73,lie,truth,False,-1.2092366926306393
irsyad,74,lie,truth,False,-0.3648699362392609
irsyad,75,lie,truth,False,-0.5571739171411674
irsyad,76,lie,truth,False,-0.3012918051252278
irsyad,77,truth,lie,False,0.7624378903804314
irsyad,78,truth,truth,True,-0.49638042017569695
irsyad,79,truth,truth,True,-0.816458786152794
irsyad,80,truth,truth,True,-1.2186312787423736
irsyad,81,truth,truth,True,-1.5628741072097783
irsyad,82,truth,truth,True,-2.7517505027459874
irsyad,83,truth,truth,True,-2.8786593347985057
irsyad,84,truth,truth,True,-2.0635332630858234
irsyad,85,truth,truth,True,-1.6664290888670243
irsyad,86,truth,truth,True,-1.7018115080191547
irsyad,87,truth,truth,True,-1.961090718804878
jovita,0,lie,truth,False,-2.384104513199435
jovita,1,lie,truth,False,-1.0727883058038026
jovita,2,lie,truth,False,-0.5929627120452756
jovita,3,lie,truth,False,-2.828095541803943
jovita,4,lie,truth,False,-2.6540991054056295
jovita,5,lie,truth,False,-3.156373512962589
jovita,6,lie,truth,False,-1.300492299040943
jovita,7,lie,truth,False,-2.3950804733186346
jovita,8,lie,truth,False,-0.3550554651495487
jovita,9,lie,truth,False,-0.5542088733841048
jovita,10,lie,truth,False,-2.0881411991228105
jovita,11,truth,lie,False,0.939387944745186
jovita,12,truth,lie,False,0.9310022330254599
jovita,13,truth,truth,True,-1.7823439537370414
jovita,14,truth,truth,True,-1.5304247301514164
jovita,15,truth,truth,True,-2.0463552898503994
jovita,16,truth,truth,True,-1.5333457045958405
jovita,17,truth,truth,True,-1.6909135792844576
