subject,stage_size,candidate_rank,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svm__C,param_svm__kernel,param_svm__gamma,param_svm__coef0,param_svm__degree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
bayu,12,3,0.003542304039001465,0.0004990146282944358,0.0034928321838378906,0.0017745612321670033,10.0,poly,0.1,0.0,3.0,"{'svm__C': 10, 'svm__coef0': 0.0, 'svm__degree': 3, 'svm__gamma': 0.1, 'svm__kernel': 'poly'}",0.8181818181818182,0.45454545454545453,0.36363636363636365,0.5454545454545454,0.5454545454545454,0.1700753357624519,63
bayu,12,3,0.007419943809509277,0.0009045560751364917,0.003159642219543457,0.0028290570600469855,10.0,poly,scale,1.0,2.0,"{'svm__C': 10, 'svm__coef0': 1.0, 'svm__degree': 2, 'svm__gamma': 'scale', 'svm__kernel': 'poly'}",0.5,1.0,0.5909090909090909,0.6363636363636364,0.6818181818181818,0.19015000603047172,26
bayu,12,3,0.003762960433959961,0.00047382539068408164,0.002716660499572754,0.0009716867361472201,10.0,poly,0.01,1.0,2.0,"{'svm__C': 10, 'svm__coef0': 1.0, 'svm__degree': 2, 'svm__gamma': 0.01, 'svm__kernel': 'poly'}",0.7727272727272727,0.9545454545454546,0.5909090909090909,0.5909090909090909,0.7272727272727273,0.15075567228888181,11
bayu,12,3,0.006079971790313721,0.0005760705106572556,0.0020647048950195312,7.98401491278695e-05,10.0,poly,0.1,1.0,2.0,"{'svm__C': 10, 'svm__coef0': 1.0, 'svm__degree': 2, 'svm__gamma': 0.1, 'svm__kernel': 'poly'}",0.5454545454545454,1.0,0.5909090909090909,0.6363636363636364,0.6931818181818181,0.1800338581563052,20
bayu,12,3,0.005016803741455078,0.0019740781632386723,0.001548171043395996,0.0009825334288626033,10.0,poly,scale,1.0,3.0,"{'svm__C': 10, 'svm__coef0': 1.0, 'svm__degree': 3, 'svm__gamma': 'scale', 'svm__kernel': 'poly'}",0.5454545454545454,1.0,0.5909090909090909,0.5909090909090909,0.6818181818181818,0.1846372364689991,26
bayu,12,3,0.005338728427886963,0.000887770370116383,0.0012674927711486816,0.000763341350331385,10.0,poly,0.01,1.0,3.0,"{'svm__C': 10, 'svm__coef0': 1.0, 'svm__degree': 3, 'svm__gamma': 0.01, 'svm__kernel': 'poly'}",0.7727272727272727,0.9545454545454546,0.7272727272727273,0.7727272727272727,0.8068181818181819,0.08728574713487057,3
bayu,12,3,0.003921389579772949,0.0005058482246274733,0.0032861828804016113,0.001886726238236759,10.0,poly,0.1,1.0,3.0,"{'svm__C': 10, 'svm__coef0': 1.0, 'svm__degree': 3, 'svm__gamma': 0.1, 'svm__kernel': 'poly'}",0.6363636363636364,1.0,0.5909090909090909,0.5454545454545454,0.6931818181818181,0.18003385815630524,20
bayu,12,3,0.008921205997467041,0.007104066551242087,0.00392603874206543,0.001887596321730106,0.1,sigmoid,scale,0.0,,"{'svm__C': 0.1, 'svm__coef0': 0.0, 'svm__gamma': 'scale', 'svm__kernel': 'sigmoid'}",0.6818181818181818,0.5,0.5,0.6363636363636364,0.5795454545454545,0.08115259577889601,58
bayu,12,3,0.005037784576416016,0.001043571234484055,0.0021542906761169434,0.00013229238487460395,0.1,sigmoid,0.01,0.0,,"{'svm__C': 0.1, 'svm__coef0': 0.0, 'svm__gamma': 0.01, 'svm__kernel': 'sigmoid'}",0.7272727272727273,0.5,0.5,0.5909090909090909,0.5795454545454546,0.09301537240764149,53
bayu,12,3,0.005202949047088623,0.0005478056735784171,0.0017226338386535645,0.0005348510036450485,0.1,sigmoid,0.1,0.0,,"{'svm__C': 0.1, 'svm__coef0': 0.0, 'svm__gamma': 0.1, 'svm__kernel': 'sigmoid'}",0.5,0.5,0.5,0.6818181818181818,0.5454545454545454,0.07872958216222167,63
bayu,12,3,0.004960596561431885,0.0006368480104269029,0.0028905272483825684,0.0007023585821344355,0.1,sigmoid,scale,1.0,,"{'svm__C': 0.1, 'svm__coef0': 1.0, 'svm__gamma': 'scale', 'svm__kernel': 'sigmoid'}",0.5,0.5,0.5,0.5,0.5,0.0,66
